Source,Target,Relation_Type
Q11463,Q3295867,P127-P1830
Q11463,Q128896,P463-P527
Q11463,Q715583,P361-P527
Q19900,Q907311,P127-P1830
Q19900,Q333718,P127-P1830
Q11463,Q333718,P127-P1830
Q11463,Q156238,P127-P1830
Q11463,Q907311,P3320-P108
Q19900,Q156238,P127-P1830
Q11463,Q192314,P127-P1830
Q11463,Q907311,P127-P1830
Q11463,Q907311,P463-P112
Q11463,Q907311,P463-P527
Q11463,Q19900,P127-P1830
Q19900,Q192314,P127-P1830
Q11463,Q20800404,P361-P527
Q11463,Q20800404,P127-P1830
Q19900,Q3884,P127-P1830
Q11463,Q380,P361-P527
Q11463,Q380,P361-P527
Q11463,Q380,P361-P527
Q11463,Q380,P463-P527
Q19900,Q20800404,P127-P1830
Q11463,Q478214,P361-P527
Q19900,Q2283,P127-P1830
Q11463,Q3884,P361-P527
Q11463,Q3884,P127-P1830
Q11463,Q3884,P463-P112
Q11463,Q3884,P463-P527
Q11463,Q312,P1830-P127
Q11463,Q555925,P361-P527
Q11463,Q555925,P463-P527
Q11463,Q312,P31-P5869
Q11463,Q2283,P1830-P127
Q11463,Q312,P361-P527
Q11463,Q312,P127-P1830
Q11463,Q312,P463-P527
Q19900,Q312,P127-P1830
Q19900,Q312,P31-P5869
Q11463,Q2283,P361-P527
Q11463,Q2283,P361-P527
Q11463,Q2283,P127-P1830
Q11463,Q2283,P463-P112
Q11463,Q2283,P463-P527
Q19900,Q182477,P127-P1830
Q11463,Q182477,P361-P527
Q11463,Q182477,P127-P1830
Q11463,Q182477,P463-P527
Q19900,Q11463,P3320-P108
Q35476,Q338825,P361-P527
Q35476,Q1159256,P127-P1830
Q19900,Q338825,P361-P527
Q35476,Q663596,P127-P1830
Q35476,Q467752,P127-P1830
Q35476,Q248,P127-P1830
Q19900,Q248,P3320-P108
Q35476,Q219508,P127-P1830
Q35476,Q219635,P127-P127
Q35476,Q219635,P127-P127
Q35476,Q7414,P361-P527
Q35476,Q7414,P127-P1830
Q19900,Q7414,P361-P527
Q35476,Q334800,P127-P1830
Q35476,Q194360,P127-P1830
Q35476,Q38076,P361-P527
Q35476,Q38076,P31-P5869
Q19900,Q38076,P361-P527
Q19900,Q334204,P361-P527
Q35476,Q334204,P361-P527
Q19900,Q37156,P463-P527
Q35476,Q744149,P127-P1830
Q35476,Q37156,P127-P1830
Q35476,Q3295867,P127-P1830
Q35476,Q212405,P127-P1830
Q35476,Q156238,P127-P1830
Q35476,Q333718,P127-P1830
Q35476,Q19900,P127-P1830
Q35476,Q192314,P127-P1830
Q35476,Q907311,P127-P1830
Q35476,Q20800404,P127-P1830
Q35476,Q380,P361-P527
Q35476,Q380,P361-P527
Q35476,Q2283,P127-P1830
Q35476,Q182477,P127-P1830
Q19900,Q2283,P361-P527
Q19900,Q2283,P3320-P108
Q35476,Q312,P127-P1830
Q35476,Q312,P31-P5869
Q35476,Q3884,P127-P1830
Q19900,Q380,P361-P527
Q19900,Q380,P361-P527
Q35476,Q2283,P361-P527
Q37156,Q483915,P3679-P527
Q37156,Q483915,P361-P527
Q37156,Q898208,P3679-P527
Q37156,Q898208,P361-P527
Q37156,Q663596,P127-P1830
Q37156,Q1159256,P127-P1830
Q37156,Q11463,P463-P527
Q37156,Q338825,P361-P527
Q37156,Q470517,P361-P527
Q37156,Q467752,P361-P527
Q37156,Q470517,P3679-P527
Q37156,Q66,P3679-P527
Q37156,Q467752,P127-P1830
Q37156,Q467752,P3679-P527
Q37156,Q66,P361-P527
Q37156,Q248,P127-P1830
Q37156,Q248,P361-P527
Q37156,Q248,P463-P112
Q37156,Q248,P463-P527
Q37156,Q248,P3679-P527
Q37156,Q7414,P3679-P527
Q37156,Q219508,P127-P1830
Q37156,Q7414,P127-P1830
Q37156,Q334800,P127-P1830
Q37156,Q7414,P361-P527
Q37156,Q7414,P361-P527
Q37156,Q38076,P361-P527
Q37156,Q38076,P361-P527
Q37156,Q194360,P3679-P527
Q37156,Q38076,P31-P5869
Q37156,Q194360,P127-P1830
Q37156,Q194360,P127-P1830
Q37156,Q194360,P361-P527
Q37156,Q247489,P3679-P527
Q37156,Q941127,P3679-P527
Q37156,Q38076,P3679-P527
Q37156,Q247489,P361-P527
Q37156,Q459965,P3679-P527
Q37156,Q193326,P361-P527
Q37156,Q459965,P361-P527
Q37156,Q334204,P361-P527
Q37156,Q193326,P3679-P527
Q37156,Q941127,P361-P527
Q37156,Q173395,P3679-P527
Q37156,Q173395,P361-P527
Q37156,Q173395,P463-P112
Q37156,Q173395,P463-P527
Q37156,Q3295867,P3679-P527
Q37156,Q744149,P127-P1830
Q37156,Q744149,P127-P1830
Q37156,Q3295867,P361-P527
Q37156,Q212405,P361-P527
Q37156,Q3295867,P127-P1830
Q37156,Q3295867,P127-P1830
Q37156,Q212405,P127-P1830
Q37156,Q319642,P3679-P527
Q37156,Q128896,P463-P527
Q37156,Q212405,P3679-P527
Q37156,Q319642,P361-P527
Q37156,Q2103926,P3679-P527
Q37156,Q2103926,P361-P527
Q37156,Q156238,P127-P1830
Q37156,Q864407,P3679-P527
Q37156,Q864407,P361-P527
Q37156,Q333718,P3320-P108
Q37156,Q333718,P127-P1830
Q37156,Q907311,P127-P1830
Q37156,Q483551,P361-P527
Q37156,Q328840,P3679-P527
Q37156,Q333718,P3679-P527
Q37156,Q907311,P463-P112
Q37156,Q907311,P463-P527
Q37156,Q333718,P361-P527
Q37156,Q192314,P3679-P527
Q37156,Q192314,P127-P1830
Q37156,Q217583,P127-P127
Q37156,Q483551,P3679-P527
Q37156,Q328840,P361-P527
Q37156,Q380,P3679-P527
Q37156,Q3884,P127-P1830
Q37156,Q192314,P361-P527
Q37156,Q19900,P127-P1830
Q37156,Q380,P361-P527
Q37156,Q380,P361-P527
Q37156,Q380,P463-P527
Q37156,Q555925,P463-P527
Q37156,Q20800404,P127-P1830
Q37156,Q312,P361-P527
Q37156,Q312,P463-P527
Q37156,Q182477,P463-P527
Q38076,Q483915,P361-P527
Q37156,Q2283,P3679-P527
Q37156,Q3884,P463-P112
Q37156,Q3884,P463-P527
Q37156,Q312,P127-P1830
Q37156,Q312,P31-P5869
Q37156,Q2283,P127-P1830
Q37156,Q312,P3679-P527
Q37156,Q182477,P127-P1830
Q37156,Q2283,P361-P527
Q37156,Q2283,P361-P527
Q37156,Q2283,P463-P112
Q37156,Q2283,P463-P527
Q38076,Q898208,P361-P527
Q38076,Q663596,P127-P1830
Q38076,Q338825,P361-P527
Q38076,Q1159256,P127-P1830
Q38076,Q470517,P361-P527
Q38076,Q467752,P361-P527
Q38076,Q66,P361-P527
Q38076,Q467752,P127-P1830
Q38076,Q219635,P127-P127
Q38076,Q219635,P127-P127
Q38076,Q248,P127-P1830
Q38076,Q248,P361-P527
Q38076,Q219508,P127-P1830
Q38076,Q7414,P127-P1830
Q38076,Q7414,P361-P527
Q38076,Q7414,P361-P527
Q38076,Q334800,P127-P1830
Q38076,Q194360,P361-P527
Q38076,Q194360,P127-P1830
Q38076,Q247489,P361-P527
Q38076,Q459965,P361-P527
Q38076,Q941127,P361-P527
Q38076,Q193326,P361-P527
Q38076,Q744149,P127-P1830
Q38076,Q334204,P361-P527
Q38076,Q3295867,P127-P1830
Q38076,Q173395,P361-P527
Q38076,Q3295867,P361-P527
Q38076,Q37156,P361-P527
Q38076,Q37156,P127-P1830
Q38076,Q319642,P361-P527
Q38076,Q2103926,P361-P527
Q38076,Q212405,P361-P527
Q38076,Q864407,P361-P527
Q38076,Q333718,P361-P527
Q38076,Q212405,P127-P1830
Q38076,Q156238,P127-P1830
Q38076,Q333718,P127-P1830
Q38076,Q907311,P127-P1830
Q38076,Q328840,P361-P527
Q38076,Q192314,P361-P527
Q38076,Q192314,P127-P1830
Q38076,Q20800404,P127-P1830
Q38076,Q483551,P361-P527
Q38076,Q19900,P127-P1830
Q38076,Q380,P361-P527
Q38076,Q380,P361-P527
Q38076,Q3884,P127-P1830
Q38076,Q312,P127-P1830
Q38076,Q312,P31-P5869
Q54173,Q483915,P361-P527
Q38076,Q2283,P127-P1830
Q38076,Q2283,P361-P527
Q38076,Q2283,P361-P527
Q38076,Q182477,P127-P1830
Q38076,Q312,P361-P527
Q54173,Q898208,P361-P527
Q54173,Q1159256,P127-P1830
Q54173,Q1159256,P169-P1416
Q54173,Q663596,P127-P1830
Q48872,Q338825,P361-P527
Q54173,Q1159256,P3320-P1416
Q54173,Q338825,P361-P527
Q54173,Q470517,P361-P527
Q54173,Q66,P361-P527
Q54173,Q467752,P361-P527
Q54173,Q467752,P127-P1830
Q54173,Q219635,P127-P127
Q54173,Q248,P361-P527
Q54173,Q248,P127-P1830
Q54173,Q219635,P1830-P127
Q54173,Q219635,P127-P127
Q48872,Q7414,P361-P527
Q54173,Q219508,P127-P1830
Q54173,Q7414,P361-P527
Q54173,Q7414,P361-P527
Q54173,Q7414,P127-P1830
Q54173,Q334800,P127-P1830
Q54173,Q38076,P361-P527
Q54173,Q38076,P361-P527
Q54173,Q247489,P361-P527
Q54173,Q38076,P31-P5869
Q48872,Q38076,P361-P527
Q48872,Q38076,P31-P5869
Q54173,Q194360,P361-P527
Q54173,Q459965,P361-P527
Q54173,Q941127,P361-P527
Q48872,Q334204,P361-P527
Q54173,Q194360,P127-P1830
Q54173,Q37156,P127-P1830
Q54173,Q193326,P361-P527
Q54173,Q334204,P361-P527
Q54173,Q3295867,P127-P1830
Q54173,Q37156,P361-P527
Q54173,Q3295867,P361-P527
Q54173,Q744149,P127-P1830
Q54173,Q173395,P361-P527
Q54173,Q319642,P361-P527
Q54173,Q212405,P127-P1830
Q54173,Q212405,P361-P527
Q54173,Q2103926,P361-P527
Q54173,Q864407,P361-P527
Q54173,Q156238,P127-P1830
